keywords (sub-indicators),Social Determinant Category,Primary Determinant Analyzed,Secondary Determinant Analyzed 1,Secondary Determinant Analyzed 2,Secondary Determinant Analyzed 3,Title,Year Published,Source,Primary Author,Number of Authors,Associated Research Institution,Author Total Works Count,Research Type,Topic ,Subfield,Field,Domain,Aligned SDG ,Research Locations,Cites,Cited By,Research Method,Research Method Population Scale ,Harm Magnitude,Harm Population Impact ,ID,Cluster
,Economic Stability ,Debt,Literacy,Access to Healthy Options,,Labor Force Transitions among Older African American and White Men,1996,Social forces,Jennifer Burr,4, University of Sheffield,60,article,Labor Market Dynamics and Inequality,Economics and Econometrics,Economics,Social Sciences,Decent work and economic growth,https://doi.org/10.1093/sf/74.3.963,11,25,Focus Group,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,32,Cluster_0
,Economic Stability ,Debt,Housing,Stress,,the role of opportunity structures in older women workers' careers,2001,Journal of employment counseling,Rachel A. August,2,"California State University, Sacramento",11,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1002/j.2161-1920.2001.tb00833.x,34,26,Longitudinal Study,Very Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,43,Cluster_0
,Economic Stability ,Debt,Language,Health Coverage,,Career progression factors of Aboriginal executives in the Canada federal public service,2003,Journal of management development,Rocky J. Dwyer,1,Walden University,45,article,Historical and Social Dynamics in Canada,Sociology and Political Science,Social Sciences,Social Sciences,,https://doi.org/10.1108/02621710310505476,5,22,Secondary Data Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,50,Cluster_0
Labor Market Discrimination and Inequality in Employment,Economic Stability ,Employment,Early Childhood,Support Systems,Health Coverage,No Foot in the Door,1999,Journal of aging & social policy,Marc Bendick,3,Council of Economic Advisors,60,Article,Labor Market Discrimination and Inequality in Employment,Sociology and Political Science,Social Sciences,Social Sciences,Decent work and economic growth,https://www.tandfonline.com/doi/abs/10.1300/J031v10n04_02,10,147,Secondary Data Analysis ,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,0,Cluster_0
Vocational Education and Training in Australia,Economic Stability ,Employment,Housing,Policing / Justice Policy,Health Coverage,"Land, Labor, and Difference: Elementary Structures of Race",2001,The American historical review,Patrick Wolfe,1, IP Australia,37,article,Vocational Education and Training in Australia,Education,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.2307/2692330,,325,Secondary Data Analysis ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,5,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Employment,Language,Social Integration,,"Successful Aging
",2006,Journal of Career Development, Sean Robson,4,Weatherford College,51,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1177/0894845306292533,51,105,Longitudinal Study,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,13,Cluster_0
Health Effects of Precarious Employment and Unemployment,Economic Stability ,Employment,Housing,Access to Healthy Options,,Disability status and perceptions of employability by employers,2000,Social work research, John C. Bricout,2,Twin Cities Orthopedics,48,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,Decent work and economic growth,https://doi.org/10.1093/swr/24.2.87,25,99,Interview,Medium,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,17,Cluster_0
,Economic Stability ,Employment,Education,Stress,,Dynamic programming model estimates of Social Security Disability Insurance application timing,2004,Journal of applied econometrics,Richard V. Burkhauser,3,American Enterprise Institute,513,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1002/jae.804,25,59,Survey ,Very Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,35,Cluster_0
,Economic Stability ,Employment,Housing,Health Coverage,,"Age and the university workplace: A case study of remaining, retiring, or returning older workers",2000,Human resource development quarterly,David Stein,3,Stanford University,210,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1002/1532-1096(200021)11:1%3C61::aid-hrdq5%3E3.0.co;2-s,29,49,Survey ,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,36,Cluster_0
,Economic Stability ,Employment,Transportation,Community Engagement,,"Social Cognitive Career Theory, the Theory of Work Adjustment, and Work Satisfaction of Retirement-Age Adults",2015,Journal of Career Development,Pamela F. Foley,2,Seton Hall University,39,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,"Peace, justice, and strong institutions, Reduced inequalities",https://doi.org/10.1177/0894845314553270,38,14,Controlled Expirement,Large,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,39,Cluster_0
,Economic Stability ,Employment,Parks,Support Systems,,The 1990's Economic Boom: Another Period of Missed Opportunity,2004,Harvard journal of African American public policy,William M. Rodgers,1,"Rutgers, The State University of New Jersey",65,article,Vocational Education and Training in Australia,Education,Social Sciences,Social Sciences,No poverty,,,,Survey ,Small ,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,46,Cluster_0
Vocational Education and Training in Australia,Economic Stability ,Expenses,Education,Social Integration,Food Security,"Unequal Opportunity: Race and Education
",1998,The Brookings review,Linda Darling‐Hammond,1,"Learning Policy Institute,",548,article,Vocational Education and Training in Australia,Education,Social Sciences,Social Sciences,,https://doi.org/10.2307/20080779,,134,Controlled Expirement,Very Small,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,3,Cluster_0
Vocational Education and Training in Australia,Economic Stability ,Expenses,Transportation,Stress,,Opportunities for career success: Views of poor and middle-class children,2000,Children and youth services review, Susan Weinger,1, Western Michigan University,32,article,Vocational Education and Training in Australia,Education,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1016/s0190-7409(99)00071-7,5,84,Interview,Large,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,9,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Expenses,Literacy,Support Systems,,"(In)validating Stereotypes About Older Workers Influences Their Intentions to Retire Early and to Learn and Develop
",2010,Basic and applied social psychology, Mathieu Gaillard,2,Purdue University West Lafayette,40,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Partnerships for the goals,https://doi.org/10.1080/01973530903435763,48,87,Longitudinal Study,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,12,Cluster_0
Health Effects of Precarious Employment and Unemployment,Economic Stability ,Expenses,Vocational Training,Provider & Pharmacy Availability,,"Unemployment and underemployment: A narrative analysis about loss
",2013,Journal of vocational behavior, David L. Blustein,3, Boston College,244,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1016/j.jvb.2013.02.005,31,104,Secondary Data Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,15,Cluster_0
Health Effects of Precarious Employment and Unemployment,Economic Stability ,Expenses,Parks,Policing / Justice Policy,,"Women's employment exit and reentry: differences among whites, blacks, and Hispanics
",2002,Social science research, Hiromi Taniguchi,2, University of Louisville,43,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,Decent work and economic growth,https://doi.org/10.1016/s0049-089x(02)00009-1,48,45,Secondary Data Analysis ,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,16,Cluster_0
Labor Relations and Union Revitalization Studies,Economic Stability ,Expenses,Early Childhood,Access to Healthy Options,Policing / Justice Policy,"Black Women and White Women in the Professions; Occupational Segregation by Race and Gender, 1960-1980.",1993,Contemporary sociology, David B. Wright,4, Baylor College of Medicine,13,article,Labor Relations and Union Revitalization Studies,Public Administration,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.2307/2074655,,35,Interview,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,25,Cluster_0
,Economic Stability ,Expenses,Playgrounds,Exposure to Violence / Trauma,Social Integration,Hiring of people with disabilities: Perceptions of Hispanic small business owners,2016,Journal of vocational rehabilitation,Roy K. Chen,6,The University of Texas Rio Grande Valley,45,article,Factors Affecting Transition to Employment for Individuals with Disabilities,Safety Research,Social Sciences,Social Sciences,No poverty,https://doi.org/10.3233/jvr-160822,61,19,Secondary Data Analysis ,Small ,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,28,Cluster_0
,Economic Stability ,Expenses,Early Childhood,Provider & Pharmacy Availability,,"Black Women and White Women in the Professions; Occupational Segregation by Race and Gender, 1960-1980.",1993,Contemporary sociology, David B. Wright,4,"Baylor College of Medicine, ",13,article,Labor Relations and Union Revitalization Studies,Public Administration,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.2307/2074655,,35,Focus Group,Large,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,31,Cluster_0
,Economic Stability ,Expenses,Parks,Stress,,Career and Technical Education as Pathways: Factors Influencing Postcollege Earnings of Selected Career Clusters,2010,Journal of education for students placed at risk,Jonathan I,4,Sandia National Laboratories California,13,article,Factors Affecting Higher Education Outcomes and Experiences,Education,Social Sciences,Social Sciences,,https://doi.org/10.1080/10824661003635044,28,23,Focus Group,Small ,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,33,Cluster_0
,Economic Stability ,Expenses,Education,Provider & Pharmacy Availability,,"Factors Contributing to Job Quality and Satisfaction Among Ethnically Diverse, Lower Income, Elderly Part-Timers",1999,Journal of gerontological social work,Lenard W. Kaye,3,University of Maine System,164,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,,https://doi.org/10.1300/j083v31n01_09,13,5,Secondary Data Analysis ,Small ,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,38,Cluster_0
,Economic Stability ,Expenses,Early Childhood,Provider & Pharmacy Availability,,Female Dual Labour Markets And Employee Benefits,2005,Scottish journal of political economy,Teresa Ghilarducci,2,New School,9043,article,Labor Market Dynamics and Inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1111/j.0036-9292.2005.00332.x,25,21,Longitudinal Study,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,41,Cluster_0
,Economic Stability ,Expenses,Education,Stress,,Implicit and explicit age cues influence the evaluation of job applications,2020,Journal of applied social psychology,Verena Kleissner,2,Chemnitz University of Technology,,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/jasp.12720,43,7,Case Study,Medium,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,42,Cluster_0
,Economic Stability ,Expenses,Walkability,Community Engagement,,Midlife Entry into Vocational Training: A Mobility Model,1998,Social science research,Cheryl Elman,2,Duke University,57,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1006/ssre.1998.0617,47,26,Controlled Expirement,Medium,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,44,Cluster_0
Income Inequality and Poverty Dynamics,Economic Stability ,Income,Education,Policing / Justice Policy,Food Security,"Re‐examining workplace equality: the capabilities approach
",2000,Human resource management journal,"Suzanne Gagnon
",2,University of Manitoba,119,article,Income Inequality and Poverty Dynamics,Sociology and Political Science,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1111/j.1748-8583.2000.tb00007.x,17,87,Content Analysis ,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,4,Cluster_0
Intergroup Relations and Social Identity Theories,Economic Stability ,Income,Playgrounds,Policing / Justice Policy,Social Integration,Workplace Ageism: Discovering Hidden Bias,2013,Experimental aging research, Sanna Malinen,2, University of Canterbury,118,article,Intergroup Relations and Social Identity Theories,Sociology and Political Science,Social Sciences,Social Sciences,"Peace, justice, and strong institutions, Reduced inequalities",https://doi.org/10.1080/0361073x.2013.808111,47,70,Case Study,Very Small,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,7,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Income,Parks,Provider & Pharmacy Availability,,"Workforce Participation by Persons With Disabilities: The National Health Interview Survey Disability Supplement, 1994 to 1995",2002,Journal of occupational and environmental medicine, Craig Zwerling,7, University of Iowa,137,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Good health and well-being,https://doi.org/10.1097/00043764-200204000-00017,5,61,Survey ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,14,Cluster_0
,Economic Stability ,Income,Playgrounds,Provider & Pharmacy Availability,Access to Healthy Options,Identity Management Strategies for Workers with Concealable Disabilities: Antecedents and Consequences,2019,Journal of social issues,Alecia M. Santuzzi,6,Northern Illinois University,102,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.1111/josi.12320,78,23,Secondary Data Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,26,Cluster_0
,Economic Stability ,Income,Education,Provider & Pharmacy Availability,Community Engagement,"  Exploring the connections among job accessibility, employment, income, and auto ownership using structural equation modeling",2007,The annals of regional science, Shengyi Gao,5,"University of California, Davis",39,article,Influence of Built Environment on Active Travel,Transportation,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1007/s00168-007-0154-2,33,57,Controlled Expirement,Large,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,29,Cluster_0
,Economic Stability ,Income,Playgrounds,Health Coverage,,Labor Force Transitions among Older African American and White Men,1996,Social forces,Jeffrey A. Burr,4,University of Massachusetts Boston,174,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,Decent work and economic growth,https://doi.org/10.2307/2580388,,10,Case Study,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,34,Cluster_0
,Economic Stability ,Income,Parks,Food Security,,Histories of Perceived Job Insecurity and Psychological Distress among Older U.S. Adults,2016,Society and mental health/Society and mental health.,Sarah A. Burgard,2,University of Michigan–Ann Arbor,110,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1177/2156869316679466,38,23,Content Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,45,Cluster_0
,Economic Stability ,Income,Language,Social Integration,,OLDER WORKERS' ADAPTATION TO A CHANGING WORKPLACE: EMPLOYMENT ISSUES FOR THE 21st CENTURY,2000, Educational gerontology,W. Edward Folts Dale E. Yeatts,1,,2,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,"Peace, justice, and strong institutions, Reduced inequalities",https://doi.org/10.1080/03601270050133900,37,72,Longitudinal Study,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,47,Cluster_0
Labor Market Dynamics and Inequality,Economic Stability ,Medical Bills,Transportation,Exposure to Violence / Trauma,Provider & Pharmacy Availability,Wage discrimination over the business cycle,2013,IZA journal of labor policy,Jeff Biddle,2,Michigan State University,130,article,Labor Market Dynamics and Inequality,Economics and Econometrics,"Economics, Econometrics and Finance",Social Sciences,Decent work and economic growth,https://doi.org/10.1186/2193-9004-2-7,20,44,Secondary Data Analysis ,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,6,Cluster_0
Factors Affecting Transition to Employment for Individuals with Disabilities,Economic Stability ,Medical Bills,Playgrounds,Community Engagement,Exposure to Violence / Trauma,Hiring Discrimination Against People with Disabilities Under the ADA: Characteristics of Charging Parties,2008,Journal of occupational rehabilitation, Brian T. McMahon,7,Virginia Commonwealth University,142,article,Factors Affecting Transition to Employment for Individuals with Disabilities,Safety Research,Social Sciences,Social Sciences,,https://doi.org/10.1007/s10926-008-9133-4,13,41,Survey ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,8,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Medical Bills,Parks,Stress,,"Disability, gender, and unemployment relationships in the United States from the behavioral risk factor surveillance system",2004,Disability & society, Diane Smith Randolph,2,Saint Louis University,5,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1080/09687590410001689494,9,48,Survey ,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,10,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Medical Bills,Transportation,Food Security,,"Trajectories of Perceived Workplace Age Discrimination and Long-Term Associations With Mental, Self-Rated, and Occupational Health
",2017,"The journals of gerontology. Series B, Psychological sciences and social sciences", Lisa A. Marchiondo,3,University of New Mexico,34,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1093/geronb/gbx095,57,64,Secondary Data Analysis ,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,11,Cluster_0
Health Effects of Precarious Employment and Unemployment,Economic Stability ,Medical Bills,Vocational Training,Stress,Support Systems,Effects of Psychiatric Disorders on Labor Market Outcomes: A Latent Variable Approach Using Multiple Clinical Indicators,2015,Health economics, Souvik Banerjee,3,"Jawaharlal Nehru Centre for Advanced Scientific Research,",139,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,Reduced inequalities,https://doi.org/10.1002/hec.3286,50,75,Case Study,Small ,High Harm (Highly Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,24,Cluster_0
,Economic Stability ,Medical Bills,Literacy,Food Security,,Institutional and Individual Factors Affecting Health and Employment for Low-Income Women With Chronic Health Conditions,2018,"The journals of gerontology. Series B, Psychological sciences and social sciences",Kelsi Carolan,5,University of Connecticut,19,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.1093/geronb/gby149,33,13,Case Study,Very Large,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,30,Cluster_0
,Economic Stability ,Medical Bills,Education,Exposure to Violence / Trauma,,OLDER WORKER'S ADAPTATION TO A CHANGING WORKPLACE: EMPLOYMENT ISSUES FOR THE 21st CENTURY,1999,Educational gerontology,W. Edward Folts Dale E. Yeatts,1,,2,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1080/036012799267774,35,77,Focus Group,Large,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,48,Cluster_0
,Economic Stability ,Medical Bills,Vocational Training,Stress,,Racial-ethnic disparities in health and the labor market: Losing and leaving jobs,2009,Social science & medicine,Kate W. Strully,1,University at Albany,23,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1016/j.socscimed.2009.06.025,28,17,Controlled Expirement,Large,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,49,Cluster_0
Health Effects of Precarious Employment and Unemployment,Economic Stability ,Support,Walkability,Food Security,,"Integrating Job Loss, Unemployment, and Reemployment With Social Cognitive Career Theory",2016,Journal of career assessment, Mindi N. Thompson,4, University of Sydney,159,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,Decent work and economic growth,https://doi.org/10.1177/1069072716657534,87,46,Content Analysis ,Medium,Medium Harm (Semi-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,18,Cluster_0
Impact of Retirement on Aging Workforce,Economic Stability ,Support,Language,Stress,,“At This Point Now”: Older Workers' Reflections on Their Current Employment Experiences,2005,The international journal of aging and human development/International journal of aging & human development,nne E. Noonan,1, Salem State University,25,article,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.2190/38cx-c90v-0k37-vlja,33,63,Longitudinal Study,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,21,Cluster_0
Vocational Education and Training in Australia,Economic Stability ,Support,Housing,Stress,,The Gendered Valuation of Occupations and Skills: Earnings in 1980 Census Occupations,1994,Social forces, Paula England,5,New York University Abu Dhabi,297,article,Vocational Education and Training in Australia,Education,Social Sciences,Social Sciences,Gender equality,https://doi.org/10.2307/2579918,,72,Secondary Data Analysis ,Very Small,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,22,Cluster_0
,Economic Stability ,Support,Transportation,Stress,Policing / Justice Policy,Heterogeneous Relationships between Labor Income and Health by Race/Ethnicity,2017,Health services research,Abdulkarim M. Meraya,6,Jazan University,88,article,Health Effects of Precarious Employment and Unemployment,General Health Professions,Health Professions,Health Sciences,No poverty,https://doi.org/10.1111/1475-6773.12802,47,8,Longitudinal Study,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,27,Cluster_0
,Economic Stability ,Support,Parks,Health Coverage,,Adolescent Precursors of Pathways From School to Work,2013,Journal of research on adolescence,Mike Vuolo,3,The Ohio State University,99,article,Youth Transitions and Social Inequality,Sociology and Political Science,Social Sciences,Social Sciences,Decent work and economic growth,https://doi.org/10.1111/jora.12038,53,95,Secondary Data Analysis ,Very Small,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,37,Cluster_0
,Economic Stability ,Support,Language,Exposure to Violence / Trauma,,Employment and Economic Well-Being Following the Onset of a Disability: The Role for Public Policy,1996,,Richard V. Burkhauser,2,American Enterprise Institute,513,book-chapte,Impact of Retirement on Aging Workforce,Demography,Social Sciences,Social Sciences,,https://doi.org/10.17848/9780585301563.ch3,3,62,Content Analysis ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),High Harm - National Population,40,Cluster_0
Influence of Parental Involvement on Student Achievement,Education,Early Childhood,Medical Bills,Exposure to Violence / Trauma,,"Moments of Social Inclusion and Exclusion Race, Class, and Cultural Capital in Family-School Relationships",1999,Sociology of education, Annette Lareau,2, University of Pennsylvania,115,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,Reduced inequalities,https://doi.org/10.2307/2673185,33,"1,293",Survey ,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,111,Cluster_2
Critical Race Theory in Education,Education,Early Childhood,Medical Bills,Policing / Justice Policy,,Examining Implicit Biases of Pre-Service Educators Within a Professional Development Context,2023,Contemporary school psychology, Amanda C. Breese,7,University at Buffalo,2,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1007/s40688-023-00456-6,68,1,Focus Group,Very Small,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,118,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Early Childhood,Housing,Community Engagement,,Racial Differences in the Effects of Significant Others on Students' Educational Expectations,2002,Sociology of education, Simon Cheng,2, University of Connecticut,40,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.2307/3090281,61,220,Content Analysis ,Very Large,Lower Harm (Non-Determinative of Health/Wealth),High Harm - National Population,120,Cluster_2
,Education,Early Childhood,Parks,Support Systems,,"""Mexican Americans Don't Value Education!"" On the Basis of the Myth, Mythmaking, and Debunking",2002,Journal of Latinos and education,Richard R. Valencia,1,The University of Texas at Austin,123,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,No poverty,https://doi.org/10.1207/s1532771xjle0102_2,35,440,Interview,Medium,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,140,Cluster_2
,Education,Early Childhood,Housing,Exposure to Violence / Trauma,,Good intentions are not enough: a decolonizing intercultural education,2008,Intercultural education,Paul C. Gorski,1,George Mason University,116,article,Education for Global Citizenship in a Globalized World,Education,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1080/14675980802568319,27,350,Longitudinal Study,Very Small,Lower Harm (Non-Determinative of Health/Wealth),Lower Harm - Local Groups,146,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Education,Income,Community Engagement,Quality of Care,The Influence of Educational and Political Resources on Minority Students' Success,1995,The Journal of Negro education/Journal of Negro education, J. L. Polinard,3, The University of Texas Rio Grande Valley,33,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://doi.org/10.2307/2967268,31,22,Longitudinal Study,Very Large,Lower Harm (Non-Determinative of Health/Wealth),Medium Harm - Regional Phenomena or Co-Variance,103,Cluster_2
Intercultural Education and Indigenous Knowledge Systems,Education,Education,Expenses,Exposure to Violence / Trauma,,Minority Education in Comparative Perspective,1990,The Journal of Negro education/Journal of Negro education,John U. Ogbu,1,Michael Okpara University of Agriculture,87,article,Intercultural Education and Indigenous Knowledge Systems,Cultural Studies,Social Sciences,Social Sciences,Quality education,https://doi.org/10.2307/2295291,16,278,Longitudinal Study,Small ,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,122,Cluster_2
,Education,Education,Housing,Walkability,,Acting on Beliefs in Teacher Education for Cultural Diversity,2009,Journal of teacher education,Geneva Gay,1,University of Washington,55,article,Critical Race Theory in Education,Sociology and Political Science,Social Sciences,Social Sciences,Quality education,https://doi.org/10.1177/0022487109347320,24,324,Case Study,Very Large,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,143,Cluster_2
Racial Discrimination and Health Inequities,Education,Higher Education,Housing,Health Coverage,Access to Linguistically & Culturally Appropriate Care,Ethnicity as a social context for the development of African-American adolescents,2006,Journal of school psychology, Jacquelynne S. Eccles,3, University of California,561,article,Racial Discrimination and Health Inequities,Sociology and Political Science,Social Sciences,Social Sciences,"Reduced inequalities, Peace, justice, and strong institutions",https://doi.org/10.1016/j.jsp.2006.04.001,52,249,Longitudinal Study,Medium,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,101,Cluster_2
Inequality in Education: Impact of Socioeconomic Status,Education,Higher Education,Housing,Support Systems,Quality of Care,"Racial Disparities and Discrimination in Education: What Do We know, how Do We Know It, and What Do We Need to Know?",2003,Teachers College record,George Farkas,1,University of California,239,article,Inequality in Education: Impact of Socioeconomic Status,Education,Social Sciences,Social Sciences,,https://doi.org/10.1111/1467-9620.00279,69,261,Longitudinal Study,Small ,High Harm (Highly Determinative of Health/Wealth),Lower Harm - Local Groups,102,Cluster_2
Influence of Parental Involvement on Student Achievement,Education,Higher Education,Employment,Exposure to Violence / Trauma,,Using Cultural Competence to Close the Achievement Gap,2008,The Journal of Pan-African Studies, Patrick Coggins,2, Stetson University,9,article,Influence of Parental Involvement on Student Achievement,Education,Social Sciences,Social Sciences,"Peace, justice, and strong institutions",https://www.questia.com/library/journal/1G1-192353402/using-cultural-competence-to-close-the-achievement,12,6,Controlled Expirement,Large,High Harm (Highly Determinative of Health/Wealth),High Harm - National Population,108,Cluster_2
Factors Affecting Student Engagement in Education,Education,Higher Education,Support,Food Security,,Prejudice Reduction in Schools Teaching Tolerance in Schools: Lessons Learned Since Brown v. Board of Education About the Development and Reduction of Children's Prejudice,2007,Social policy report, Jennifer H. Pfeifer,3, University of Oregon,158,article,Factors Affecting Student Engagement in Education,Education,Social Sciences,Social Sciences,,https://doi.org/10.1002/j.2379-3988.2007.tb00051.x,111,70,Interview,Very Small,Medium Harm (Semi-Determinative of Health/Wealth),Lower Harm - Local Groups,109,Cluster_2
